Number,Course Title,Year,Term,GPA,Total,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,YearTerm
296,Honors Course,2017,sp,3.940841121495328,107,42,55,5,4,0,0,0,1,0,0,0,0,0,2017-sp
296,Honors Course,2018,fa,3.825365853658536,82,0,72,2,0,3,2,0,2,0,0,0,0,1,2018-fa
296,Honors Course,2018,sp,3.4361538461538466,39,13,13,5,2,1,0,0,1,0,0,0,0,4,2018-sp
357,Numerical Methods I,2010,fa,2.5606730769230768,104,8,23,0,14,7,0,5,14,12,0,15,0,6,2010-fa
357,Numerical Methods I,2010,sp,3.3179452054794516,146,2,56,25,14,20,12,2,5,3,0,1,2,4,2010-sp
357,Numerical Methods I,2011,fa,3.129151515151515,165,9,37,18,26,25,11,19,7,9,0,2,0,2,2011-fa
357,Numerical Methods I,2011,sp,3.1524999999999994,168,14,28,25,31,28,5,15,10,4,2,5,0,1,2011-sp
357,Numerical Methods I,2012,fa,3.030227272727273,132,2,30,13,28,18,12,3,12,4,1,6,0,3,2012-fa
357,Numerical Methods I,2013,fa,3.2062903225806454,186,33,28,28,22,30,11,10,11,3,1,4,2,3,2013-fa
357,Numerical Methods I,2013,sp,3.4623076923076934,195,2,91,42,7,22,11,4,6,3,0,4,0,3,2013-sp
357,Numerical Methods I,2014,fa,2.9731838565022417,223,7,61,23,20,30,20,11,19,4,13,7,3,5,2014-fa
357,Numerical Methods I,2014,sp,2.7931313131313127,198,5,19,23,26,35,27,19,16,9,8,3,6,2,2014-sp
357,Numerical Methods I,2015,fa,3.1076262626262627,198,0,51,24,32,33,14,17,8,7,6,3,3,0,2015-fa
357,Numerical Methods I,2015,sp,2.9765757575757577,330,7,93,23,35,49,18,29,35,13,12,9,3,4,2015-sp
357,Numerical Methods I,2016,fa,3.1397233201581023,253,12,113,20,18,15,12,9,11,7,11,12,4,9,2016-fa
357,Numerical Methods I,2016,sp,2.6852747252747253,273,12,25,30,24,50,25,26,31,19,7,10,7,7,2016-sp
357,Numerical Methods I,2017,fa,3.0,433,49,86,43,48,55,30,31,36,13,12,11,5,14,2017-fa
357,Numerical Methods I,2017,sp,2.9938567493112953,363,59,47,52,35,31,34,32,25,15,8,8,5,12,2017-sp
357,Numerical Methods I,2018,fa,3.1015051020408166,392,39,100,44,35,50,30,19,27,20,7,8,4,9,2018-fa
357,Numerical Methods I,2018,sp,3.0545789473684213,380,29,65,70,50,48,22,32,19,12,9,8,9,7,2018-sp
361,Prob & Stat for Computer Sci,2016,fa,3.373333333333333,66,12,16,7,14,6,1,4,2,2,0,1,0,1,2016-fa
361,Prob & Stat for Computer Sci,2017,fa,3.505142857142857,35,4,20,5,2,0,0,0,0,1,0,0,0,3,2017-fa
361,Prob & Stat for Computer Sci,2017,sp,3.41234375,64,8,21,14,3,6,6,1,1,0,0,2,1,1,2017-sp
361,Prob & Stat for Computer Sci,2018,fa,2.939740259740259,77,9,20,10,4,7,5,3,2,3,4,4,1,5,2018-fa
361,Prob & Stat for Computer Sci,2018,sp,3.196,80,10,32,7,4,9,1,0,7,1,1,2,0,6,2018-sp
373,Theory of Computation,2010,fa,3.0244370860927146,151,8,16,21,21,31,21,15,6,6,5,1,0,0,2010-fa
373,Theory of Computation,2010,sp,2.574523809523809,126,8,18,6,9,15,12,9,14,13,7,4,11,0,2010-sp
373,Theory of Computation,2011,fa,2.636549295774648,142,6,17,16,7,16,17,17,21,10,4,2,2,7,2011-fa
373,Theory of Computation,2011,sp,2.8732380952380963,105,5,19,6,10,19,13,7,14,5,0,6,0,1,2011-sp
373,Theory of Computation,2012,fa,3.2306432748538008,171,10,64,22,15,11,7,5,9,25,2,0,0,1,2012-fa
373,Theory of Computation,2012,sp,3.2051282051282053,39,11,9,1,3,4,1,1,4,2,0,3,0,0,2012-sp
373,Theory of Computation,2013,fa,3.1966666666666668,195,7,51,28,29,23,17,14,11,9,6,0,0,0,2013-fa
373,Theory of Computation,2013,sp,3.2269060773480667,181,12,60,19,16,16,18,9,19,10,1,0,0,1,2013-sp
373,Theory of Computation,2014,sp,2.841888111888112,143,5,26,21,7,15,14,14,24,6,4,3,1,3,2014-sp
374,Intro to Algs & Models of Comp,2016,fa,2.5036523929471035,397,14,45,27,31,38,42,53,40,33,38,17,5,14,2016-fa
374,Intro to Algs & Models of Comp,2017,fa,2.5554411764705884,408,7,41,33,38,35,50,65,51,33,33,8,6,8,2017-fa
374,Intro to Algs & Models of Comp,2017,sp,2.7663970588235296,408,20,51,28,46,67,45,46,32,38,17,7,5,6,2017-sp
374,Intro to Algs & Models of Comp,2018,fa,2.69860310421286,451,21,65,47,45,38,50,47,38,37,28,14,7,14,2018-fa
374,Intro to Algs & Models of Comp,2018,sp,2.6555204460966544,538,17,86,46,62,37,61,34,57,40,59,23,9,7,2018-sp
411,Database Systems,2010,fa,3.2296,125,14,30,14,11,20,10,10,9,7,0,0,0,0,2010-fa
411,Database Systems,2010,sp,3.061018518518518,108,5,16,10,26,16,6,15,9,2,1,1,1,0,2010-sp
411,Database Systems,2011,fa,3.097380952380953,168,4,34,27,25,23,19,16,7,4,4,1,3,1,2011-fa
411,Database Systems,2011,sp,3.13125,184,8,26,36,21,36,33,7,8,4,1,1,1,2,2011-sp
411,Database Systems,2012,fa,3.199042553191489,188,20,44,22,16,38,18,4,11,6,2,4,2,1,2012-fa
411,Database Systems,2012,sp,3.536785714285714,28,1,8,11,2,3,1,1,1,0,0,0,0,0,2012-sp
411,Database Systems,2013,fa,2.7585051546391743,194,9,26,18,12,32,31,14,20,18,2,1,6,5,2013-fa
411,Database Systems,2013,sp,3.582786885245901,183,16,87,12,15,43,0,2,8,0,0,0,0,0,2013-sp
411,Database Systems,2014,fa,3.2232124352331613,193,19,40,21,21,41,24,6,12,7,1,1,0,0,2014-fa
411,Database Systems,2014,sp,3.5644615384615386,195,15,82,27,11,46,8,3,2,0,0,1,0,0,2014-sp
411,Database Systems,2015,fa,3.533247422680412,194,31,65,31,12,30,17,2,3,1,0,0,0,2,2015-fa
411,Database Systems,2015,sp,3.1446700507614214,197,17,20,50,25,27,26,7,8,9,4,1,1,2,2015-sp
411,Database Systems,2016,fa,2.9605825242718447,206,16,23,48,17,30,26,6,6,13,5,4,5,7,2016-fa
411,Database Systems,2016,sp,3.4722631578947367,190,6,28,62,56,25,13,0,0,0,0,0,0,0,2016-sp
411,Database Systems,2017,fa,2.6530281690140844,142,7,19,15,14,19,20,10,6,7,5,3,6,11,2017-fa
411,Database Systems,2017,sp,3.5036458333333336,192,13,21,66,63,22,7,0,0,0,0,0,0,0,2017-sp
411,Database Systems,2018,fa,3.557589743589744,195,63,25,43,26,21,5,3,2,3,3,1,0,0,2018-fa
411,Database Systems,2018,sp,3.3840225563909767,266,10,37,93,61,38,15,2,3,1,1,0,0,5,2018-sp
412,Introduction to Data Mining,2010,fa,3.2736170212765963,94,10,20,20,12,15,8,1,2,1,0,0,0,5,2010-fa
412,Introduction to Data Mining,2011,fa,3.550583333333333,120,12,43,31,13,6,6,3,4,0,0,0,0,2,2011-fa
412,Introduction to Data Mining,2012,fa,3.4117721518987336,158,12,45,41,21,14,7,10,2,1,0,1,0,4,2012-fa
412,Introduction to Data Mining,2013,fa,3.313679653679654,231,19,58,44,32,26,30,7,5,3,0,0,0,7,2013-fa
412,Introduction to Data Mining,2014,fa,3.0583908045977,174,15,30,43,14,18,16,7,6,11,2,1,1,10,2014-fa
412,Introduction to Data Mining,2015,fa,2.8161956521739127,184,10,23,36,16,19,25,7,9,18,4,6,2,9,2015-fa
412,Introduction to Data Mining,2016,fa,3.207564766839378,193,23,34,31,24,30,19,12,10,4,0,2,0,4,2016-fa
412,Introduction to Data Mining,2016,sp,3.2644444444444445,81,5,26,17,4,8,9,1,2,5,0,2,0,2,2016-sp
412,Introduction to Data Mining,2017,fa,3.0450837988826818,179,13,29,22,24,39,23,4,9,4,1,2,1,8,2017-fa
412,Introduction to Data Mining,2017,sp,3.63958549222798,193,32,71,47,14,12,5,6,4,0,0,0,0,2,2017-sp
412,Introduction to Data Mining,2018,fa,3.5171875,160,18,54,34,12,18,9,8,5,2,0,0,0,0,2018-fa
412,Introduction to Data Mining,2018,sp,3.297206477732794,247,25,69,41,21,32,21,18,10,0,0,4,0,6,2018-sp
418,Interactive Computer Graphics,2010,fa,3.436122448979592,49,9,13,8,3,7,6,1,0,0,0,1,1,0,2010-fa
418,Interactive Computer Graphics,2010,sp,3.5959574468085105,47,9,15,7,9,1,4,0,1,1,0,0,0,0,2010-sp
418,Interactive Computer Graphics,2011,fa,3.3208,50,2,17,9,4,4,8,1,3,0,0,2,0,0,2011-fa
418,Interactive Computer Graphics,2011,sp,3.4063636363636363,55,5,17,11,2,14,0,4,0,0,0,1,0,1,2011-sp
418,Interactive Computer Graphics,2012,fa,3.1625,72,7,17,8,5,11,11,4,7,0,0,0,0,2,2012-fa
418,Interactive Computer Graphics,2013,fa,3.2874712643678166,87,0,33,5,4,32,3,2,5,1,0,2,0,0,2013-fa
418,Interactive Computer Graphics,2013,sp,3.3577551020408167,147,5,68,1,25,21,8,5,5,0,2,6,0,1,2013-sp
418,Interactive Computer Graphics,2014,fa,3.4268382352941176,136,0,69,23,13,6,9,4,2,0,0,7,0,3,2014-fa
418,Interactive Computer Graphics,2014,sp,3.4361797752808987,178,10,72,23,37,4,12,7,7,1,0,0,0,5,2014-sp
418,Interactive Computer Graphics,2015,fa,3.210424242424242,165,10,47,26,21,22,11,6,7,6,0,3,0,6,2015-fa
418,Interactive Computer Graphics,2015,sp,3.275058823529412,170,12,32,48,31,16,10,3,5,3,1,2,2,5,2015-sp
418,Interactive Computer Graphics,2016,fa,2.950987654320988,162,6,28,25,22,24,19,8,9,4,0,11,0,6,2016-fa
418,Interactive Computer Graphics,2016,sp,3.5537724550898213,167,18,52,51,13,13,9,4,3,2,1,0,0,1,2016-sp
418,Interactive Computer Graphics,2017,fa,3.2330769230769234,143,9,54,13,14,16,8,11,5,3,0,6,0,4,2017-fa
418,Interactive Computer Graphics,2017,sp,2.8533128834355828,163,14,25,23,13,22,19,5,17,3,0,14,0,8,2017-sp
418,Interactive Computer Graphics,2018,fa,3.441616161616162,99,25,25,17,8,6,8,2,3,1,0,0,0,4,2018-fa
418,Interactive Computer Graphics,2018,sp,2.9448333333333334,120,12,25,14,7,15,10,3,20,0,0,12,0,2,2018-sp
421,Progrmg Languages & Compilers,2010,fa,3.069890109890109,91,9,19,7,13,12,12,2,8,4,1,1,1,2,2010-fa
421,Progrmg Languages & Compilers,2010,sp,3.1289999999999996,80,19,19,2,6,7,6,9,3,3,0,2,0,4,2010-sp
421,Progrmg Languages & Compilers,2011,fa,3.131538461538462,91,7,24,5,12,19,2,7,7,4,1,2,0,1,2011-fa
421,Progrmg Languages & Compilers,2011,sp,3.0394852941176467,136,4,45,11,3,27,4,5,25,6,2,1,0,3,2011-sp
421,Progrmg Languages & Compilers,2012,fa,3.050869565217391,92,10,14,14,12,15,4,5,8,2,2,2,3,1,2012-fa
421,Progrmg Languages & Compilers,2012,sp,2.6833333333333336,21,1,4,2,2,1,4,1,2,1,0,0,1,2,2012-sp
421,Progrmg Languages & Compilers,2013,fa,3.054146341463415,123,5,30,15,16,18,8,11,8,3,2,2,1,4,2013-fa
421,Progrmg Languages & Compilers,2013,sp,3.191066666666667,150,17,56,8,10,12,7,9,19,2,0,7,0,3,2013-sp
421,Progrmg Languages & Compilers,2014,fa,3.1622330097087383,103,6,34,9,8,12,12,4,9,3,1,3,2,0,2014-fa
421,Progrmg Languages & Compilers,2014,sp,3.03927374301676,179,16,33,23,20,29,11,15,12,8,0,7,2,3,2014-sp
421,Progrmg Languages & Compilers,2015,sp,3.3918072289156624,166,18,61,22,18,8,16,9,6,1,2,1,2,2,2015-sp
421,Progrmg Languages & Compilers,2016,fa,3.2051479289940827,169,35,37,15,12,28,3,8,16,5,3,3,1,3,2016-fa
421,Progrmg Languages & Compilers,2016,sp,3.53293172690763,249,76,71,25,20,24,6,5,13,4,0,1,0,4,2016-sp
421,Progrmg Languages & Compilers,2017,fa,3.510202429149797,247,19,142,10,13,23,9,7,9,4,2,3,5,1,2017-fa
421,Progrmg Languages & Compilers,2017,sp,3.4443006993006997,286,27,136,37,18,20,8,9,9,3,0,12,0,7,2017-sp
421,Progrmg Languages & Compilers,2018,fa,3.560314136125654,191,12,125,10,5,6,6,10,4,3,2,3,4,1,2018-fa
421,Progrmg Languages & Compilers,2018,sp,3.520503597122302,278,33,125,28,24,28,12,9,7,3,0,8,0,1,2018-sp
425,Distributed Systems,2010,fa,3.2680000000000002,40,2,2,13,8,3,11,0,1,0,0,0,0,0,2010-fa
425,Distributed Systems,2010,sp,2.559117647058823,34,2,2,2,4,3,5,5,4,5,0,0,0,2,2010-sp
425,Distributed Systems,2011,fa,2.6055813953488367,43,6,4,5,3,3,5,1,3,4,2,1,4,2,2011-fa
425,Distributed Systems,2011,sp,3.418837209302325,43,2,16,5,2,11,3,3,1,0,0,0,0,0,2011-sp
425,Distributed Systems,2012,fa,3.588026315789474,76,7,18,22,18,8,3,0,0,0,0,0,0,0,2012-fa
425,Distributed Systems,2012,sp,3.473333333333333,24,3,5,8,1,2,3,2,0,0,0,0,0,0,2012-sp
425,Distributed Systems,2013,fa,3.674158415841585,101,11,22,44,18,5,1,0,0,0,0,0,0,0,2013-fa
425,Distributed Systems,2013,sp,3.0996875000000004,64,7,9,17,6,9,4,2,2,2,1,1,0,4,2013-sp
425,Distributed Systems,2014,fa,3.3539880952380954,168,11,28,41,26,27,30,4,0,0,0,0,0,1,2014-fa
425,Distributed Systems,2014,sp,3.2553333333333327,90,5,17,17,18,17,2,7,4,0,0,2,0,1,2014-sp
425,Distributed Systems,2015,fa,3.4982653061224487,196,20,24,58,61,27,3,2,0,0,0,0,0,1,2015-fa
425,Distributed Systems,2015,sp,3.0025000000000004,132,2,26,8,19,22,22,14,11,5,3,0,0,0,2015-sp
425,Distributed Systems,2016,fa,3.346747572815534,206,17,21,51,45,43,25,2,0,0,0,0,0,2,2016-fa
425,Distributed Systems,2016,sp,3.097151515151515,165,6,35,18,16,47,13,5,14,3,5,0,1,2,2016-sp
425,Distributed Systems,2017,fa,3.254365079365079,252,20,32,58,52,46,26,3,5,1,0,0,0,9,2017-fa
425,Distributed Systems,2017,sp,2.9386309523809517,168,11,25,24,20,20,21,17,10,4,6,4,1,5,2017-sp
425,Distributed Systems,2018,fa,3.4028070175438603,285,21,31,107,75,31,7,0,2,1,0,2,0,8,2018-fa
425,Distributed Systems,2018,sp,3.2126696832579182,221,5,38,40,49,31,26,19,9,1,0,1,1,1,2018-sp
438,Communication Networks,2010,fa,3.2313461538461534,52,1,10,12,5,8,8,6,2,0,0,0,0,0,2010-fa
438,Communication Networks,2010,sp,2.5321621621621624,37,5,2,5,2,5,2,2,4,3,0,2,1,4,2010-sp
438,Communication Networks,2011,sp,2.571714285714286,35,2,4,4,6,3,3,0,4,1,1,2,2,3,2011-sp
438,Communication Networks,2012,fa,3.0374603174603174,63,3,14,9,7,5,10,4,7,0,1,0,1,2,2012-fa
438,Communication Networks,2013,fa,3.0915476190476183,84,2,22,7,2,28,4,4,11,2,1,0,1,0,2013-fa
438,Communication Networks,2013,sp,2.681594202898551,69,4,13,9,3,13,4,1,7,1,1,5,0,8,2013-sp
438,Communication Networks,2014,fa,3.575131578947368,76,8,20,23,11,7,4,3,0,0,0,0,0,0,2014-fa
438,Communication Networks,2014,sp,2.5569999999999995,70,6,13,1,5,12,1,2,16,1,0,5,1,7,2014-sp
438,Communication Networks,2015,fa,3.6056321839080465,87,9,27,21,15,13,0,0,1,1,0,0,0,0,2015-fa
438,Communication Networks,2015,sp,2.482553191489362,94,2,27,5,3,13,4,4,7,4,3,2,5,15,2015-sp
438,Communication Networks,2016,fa,2.617530864197531,81,2,11,9,8,7,12,9,8,4,2,1,0,8,2016-fa
438,Communication Networks,2016,sp,2.6668674698795183,83,3,30,3,5,8,6,2,3,1,2,4,4,12,2016-sp
438,Communication Networks,2017,fa,3.3909876543209867,81,7,20,12,9,23,3,5,2,0,0,0,0,0,2017-fa
438,Communication Networks,2017,sp,2.7272289156626512,83,2,28,2,4,12,7,3,6,4,1,2,3,9,2017-sp
438,Communication Networks,2018,fa,3.439009009009009,111,7,17,35,24,13,11,3,1,0,0,0,0,0,2018-fa
438,Communication Networks,2018,sp,2.3753125,64,0,18,4,2,7,3,2,9,1,1,2,3,12,2018-sp
440,Artificial Intelligence,2010,fa,2.887384615384616,65,11,13,2,1,15,4,1,7,0,0,9,0,2,2010-fa
440,Artificial Intelligence,2010,sp,2.9900000000000007,60,6,9,11,3,11,8,0,3,4,0,2,0,3,2010-sp
440,Artificial Intelligence,2011,fa,3.0307692307692307,65,7,14,4,6,14,3,2,10,0,0,3,1,1,2011-fa
440,Artificial Intelligence,2011,sp,2.9092391304347824,92,2,11,12,16,13,12,10,7,1,4,3,0,1,2011-sp
440,Artificial Intelligence,2012,fa,3.173090909090909,110,17,29,13,4,17,5,1,10,3,5,5,1,0,2012-fa
440,Artificial Intelligence,2013,fa,3.228064516129032,155,21,57,5,9,25,6,0,20,0,1,5,4,2,2013-fa
440,Artificial Intelligence,2013,sp,2.83,88,3,19,7,4,17,7,7,7,8,1,6,2,0,2013-sp
440,Artificial Intelligence,2014,fa,3.2773109243697482,119,0,53,0,0,48,0,0,16,0,0,2,0,0,2014-fa
440,Artificial Intelligence,2014,sp,2.95328125,128,9,19,10,8,35,8,11,19,6,0,2,1,0,2014-sp
440,Artificial Intelligence,2015,fa,3.2004494382022464,178,30,52,7,5,44,5,2,19,1,3,5,1,4,2015-fa
440,Artificial Intelligence,2015,sp,3.136964285714286,168,18,59,7,7,41,0,0,19,2,0,5,1,9,2015-sp
440,Artificial Intelligence,2016,fa,3.146996197718632,263,35,73,8,8,79,4,7,31,1,3,6,3,5,2016-fa
440,Artificial Intelligence,2016,sp,3.055214285714286,140,11,32,5,0,56,14,0,13,0,0,6,0,3,2016-sp
440,Artificial Intelligence,2017,fa,3.2185906040268457,447,74,122,19,16,122,16,11,34,3,1,21,3,5,2017-fa
440,Artificial Intelligence,2017,sp,2.990119760479042,167,3,52,3,0,54,2,0,49,0,0,3,0,1,2017-sp
440,Artificial Intelligence,2018,fa,3.3361732851985564,277,40,53,55,42,29,29,10,7,2,1,2,3,4,2018-fa
440,Artificial Intelligence,2018,sp,3.3914838709677424,310,57,107,8,14,68,22,8,11,2,3,8,1,1,2018-sp
461,Computer Security I,2010,fa,3.216744186046512,86,3,30,0,4,32,0,4,13,0,0,0,0,0,2010-fa
461,Computer Security I,2010,sp,3.0140277777777778,72,0,11,13,9,8,10,11,9,0,0,1,0,0,2010-sp
461,Computer Security I,2011,fa,3.0026271186440683,118,1,22,7,10,49,0,4,22,0,0,3,0,0,2011-fa
461,Computer Security I,2012,fa,2.9773154362416108,149,2,35,1,9,59,0,6,35,0,0,1,0,1,2012-fa
461,Computer Security I,2013,fa,3.1337894736842102,95,9,10,18,12,11,16,10,6,2,1,0,0,0,2013-fa
461,Computer Security I,2013,sp,3.0367073170731707,82,4,5,16,10,23,5,10,5,2,0,2,0,0,2013-sp
461,Computer Security I,2014,fa,3.5564673913043485,184,10,101,24,8,17,7,6,3,0,0,6,0,2,2014-fa
461,Computer Security I,2014,sp,2.946086956521739,92,8,10,8,9,22,11,7,6,9,0,1,0,1,2014-sp
461,Computer Security I,2015,fa,2.9000666666666666,150,4,31,10,17,41,7,5,12,8,0,11,0,4,2015-fa
461,Computer Security I,2015,sp,2.9918400000000003,125,16,24,9,11,22,5,11,13,2,0,10,0,2,2015-sp
461,Computer Security I,2016,fa,2.9455345911949684,159,15,24,11,14,42,9,7,23,3,0,8,0,3,2016-fa
461,Computer Security I,2016,sp,2.8619727891156463,147,6,28,8,6,43,14,7,20,4,2,2,2,5,2016-sp
461,Computer Security I,2017,fa,3.3722897196261687,214,23,39,43,44,34,14,12,0,0,0,2,0,3,2017-fa
461,Computer Security I,2017,sp,2.9536708860759493,158,8,31,9,12,51,9,9,10,7,0,8,0,4,2017-sp
461,Computer Security I,2018,fa,3.341411764705882,170,13,46,27,20,32,12,10,5,3,0,0,0,2,2018-fa
461,Computer Security I,2018,sp,2.853063063063064,111,5,15,8,15,19,15,6,17,5,0,4,0,2,2018-sp
465,User Interface Design,2010,fa,3.241489361702127,47,0,12,5,6,15,5,0,3,1,0,0,0,0,2010-fa
465,User Interface Design,2011,fa,3.0684090909090913,44,2,8,2,6,11,9,3,1,1,0,0,0,1,2011-fa
465,User Interface Design,2012,fa,3.0002040816326527,49,1,10,6,1,12,4,6,8,0,0,1,0,0,2012-fa
465,User Interface Design,2013,fa,3.4563333333333333,90,0,22,29,14,17,6,0,1,0,0,1,0,0,2013-fa
465,User Interface Design,2013,sp,3.148271604938272,81,5,13,13,13,19,6,3,4,0,0,4,0,1,2013-sp
465,User Interface Design,2014,fa,3.0205617977528085,178,1,26,13,24,62,17,11,20,3,0,0,0,1,2014-fa
465,User Interface Design,2015,fa,3.072096774193548,186,6,24,28,19,56,20,10,16,4,0,2,0,1,2015-fa
465,User Interface Design,2015,sp,2.9759333333333338,150,2,13,24,21,35,22,13,12,5,0,2,0,1,2015-sp
465,User Interface Design,2016,fa,3.0652976190476187,168,3,15,19,24,72,7,14,10,3,0,1,0,0,2016-fa
465,User Interface Design,2016,sp,3.4193714285714285,175,3,41,49,35,30,8,5,0,1,1,0,0,2,2016-sp
465,User Interface Design,2017,fa,3.0664534883720926,172,1,24,21,9,76,21,7,4,5,2,1,0,1,2017-fa
465,User Interface Design,2017,sp,3.360055555555556,180,1,29,59,31,33,18,4,3,1,0,1,0,0,2017-sp
465,User Interface Design,2018,fa,3.3750769230769224,130,3,40,32,9,27,7,1,7,0,1,2,0,1,2018-fa
465,User Interface Design,2018,sp,3.3122435897435896,156,15,40,24,21,25,12,5,6,3,0,3,0,2,2018-sp
